Area;Campus;Nivel;Avaliasetores[PROAE];Avaliasetores[PROCULT];Avaliasetores[PROEX];Avaliasetores[PROGRAD];Avaliasetores[PROPP];Avaliasetores[DIAAF];Avaliasetores[DRI];Avaliasetores[COORD];Avaliasetores[OUVG];Avaliasetores[CAT];EstReg;Regimento;OrgCol[DivDec];OrgCol[ImplDec];OrgCol[RepDec];CPA;ApRecFin[DesAtEns];ApRecFin[DesAtPesq];ApRecFin[DesAtEx];ApRecFin[DesAtInov];ApRecFin[AqEqIns];ApRecFin[ManAmpRef];ApRecFin[BProjPesqEx];ApRecFin[BMonitTP];ApRecFin[ConcAux];TranspInv
Ciências da Saúde;UFJF - campus Juiz de Fora;Graduação (presencial ou a distância);Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Discordo;Discordo;Discordo;Discordo;Concordo;Não concordo nem discordo
Ciências da Saúde;UFJF - campus Juiz de Fora;Graduação (presencial ou a distância);Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Não sei / Não se aplica;Não concordo nem discordo;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não concordo nem discordo;Discordo;Não sei / Não se aplica;Não concordo nem discordo;Não sei / Não se aplica;Discordo totalmente;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Discordo
Ciências Humanas;UFJF - campus Juiz de Fora;Graduação (presencial ou a distância);Concordo;Concordo;Concordo totalmente;Concordo;Concordo totalmente;Concordo;Concordo;Concordo;Concordo totalmente;Concordo;Concordo;Concordo;Concordo totalmente;Concordo totalmente;Concordo;Concordo;Concordo totalmente;Concordo;Concordo;Concordo;Concordo totalmente;Concordo totalmente;Concordo;Concordo;Concordo;Concordo
Ciências da Saúde;UFJF - campus Juiz de Fora;Graduação (presencial ou a distância);Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Concordo;Não sei / Não se aplica;Concordo;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Discordo totalmente;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Concordo;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica
Ciências Humanas;UFJF - campus Juiz de Fora;Graduação (presencial ou a distância);Concordo;Não sei / Não se aplica;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não concordo nem discordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Não sei / Não se aplica;Não sei / Não se aplica
Ciências Exatas e da Terra;UFJF - campus Juiz de Fora;Graduação (presencial ou a distância);Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente
Ciências Humanas;UFJF - campus Juiz de Fora;Graduação (presencial ou a distância);Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Discordo;Concordo;Concordo;Concordo;Concordo;Não concordo nem discordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo
Ciências Biológicas;UFJF - campus Juiz de Fora;Graduação (presencial ou a distância);Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Não concordo nem discordo;Discordo;Discordo;Concordo;Concordo;Concordo;Não concordo nem discordo;Não concordo nem discordo;Concordo;Concordo;Concordo;Não concordo nem discordo
Ciências Humanas;UFJF - campus Juiz de Fora;Graduação (presencial ou a distância);Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Discordo;Discordo;Não sei / Não se aplica;Concordo;Discordo;Discordo;Discordo;Discordo;Discordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo totalmente;Não concordo nem discordo
Ciências Exatas e da Terra;UFJF - Polos de EaD;Graduação (presencial ou a distância);Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Concordo totalmente;Não sei / Não se aplica;Concordo totalmente;Concordo totalmente;Concordo totalmente;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não concordo nem discordo;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não concordo nem discordo
