Nivelcurso;Campus;Unidade;OrgCo[DivDec];OrgCo[ImplDec];OrgCo[RepOrgCol];AvaliaSetores[PROAE];AvaliaSetores[PROPP];AvaliaSetores[PRGRA];AvaliaSetores[PROEX];AvaliaSetores[PRCUL];AvaliaSetores[PROINOV];AvaliaSetores[DRI];AvaliaSetores[DIAAF];AvaliaSetores[COORD];AvaliaSetores[OUVID];AvaliaSetores[CATEND];EstReg;RAGRI;CPA;AplRF[DAtEn];AplRF[DAtPe];AplRF[DAtEx];AplRF[DAtInov];AplRF[AqEqi];AplRF[MAREF];AplRF[BProj];AplRF[BMoTP];AplRF[CAVS];TrInv;Qaberta
Graduação (presencial ou a distância);UFJF - campus Juiz de Fora;ICE – Instituto de Ciências Exatas;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Concordo totalmente;Concordo;Discordo;Discordo;Discordo;Não concordo nem discordo;Não concordo nem discordo;Discordo;Discordo;Não concordo nem discordo;Discordo totalmente;Discordo;Concordo;Concordo;Não concordo nem discordo;Não concordo nem discordo;
Graduação (presencial ou a distância);UFJF - campus Juiz de Fora;IAD – Instituto de Artes e Design;Discordo;Concordo;Discordo;Discordo;Concordo;Concordo;Concordo;Não concordo nem discordo;Não concordo nem discordo;Concordo;Discordo totalmente;Não concordo nem discordo;Discordo;Discordo;Concordo;Concordo;Discordo totalmente;Concordo;Concordo;Discordo;Discordo;Concordo;Discordo totalmente;Concordo;Concordo;Concordo;Concordo;Necessário aumentar os investimentos em extensão, para que possa haver aplicabilidade e retorno social dos resultados das pesquisas realizadas na Instituição, bem como aprimorar a gerência de recursos em infraestrutura, para garantir a manutenção e o aprimoramento dos espaços da Universidade.
Graduação (presencial ou a distância);UFJF - campus Juiz de Fora;Faculdade de Direito;Discordo;Discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Discordo totalmente;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Concordo;Concordo;Concordo totalmente;Discordo totalmente;Discordo totalmente;Concordo;Discordo totalmente;Discordo;Discordo totalmente;Discordo totalmente;Concordo;Concordo totalmente;Concordo totalmente;Concordo totalmente;
Graduação (presencial ou a distância);UFJF - campus Juiz de Fora;Faculdade de Administração e Ciências Contábeis;Não concordo nem discordo;Discordo totalmente;Discordo totalmente;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Concordo;Concordo;Discordo;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não concordo nem discordo;Discordo;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Discordo;
Pós-graduação (lato ou stricto sensu);UFJF - campus Juiz de Fora;Faculdade de Comunicação Social;Concordo;Concordo;Concordo;Concordo;Concordo totalmente;Concordo;Concordo;Concordo totalmente;Concordo;Concordo totalmente;Concordo totalmente;Concordo totalmente;Não sei / Não se aplica;Concordo;Concordo totalmente;Concordo totalmente;Não concordo nem discordo;Concordo;Concordo totalmente;Concordo totalmente;Não concordo nem discordo;Concordo;Concordo totalmente;Concordo totalmente;Não concordo nem discordo;Concordo totalmente;Concordo;
Graduação (presencial ou a distância);UFJF - campus Governador Valadares;Faculdade de Medicina;Concordo;Concordo;Não concordo nem discordo;Não sei / Não se aplica;Não sei / Não se aplica;Discordo;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Discordo totalmente;Discordo;Discordo;Discordo;Discordo;Não concordo nem discordo;Não concordo nem discordo;Concordo;Não concordo nem discordo;Não concordo nem discordo;Discordo;Discordo totalmente;Discordo;Discordo;Não sei / Não se aplica;Não sei / Não se aplica;
Graduação (presencial ou a distância);UFJF - campus Juiz de Fora;Faculdade de Educação;Discordo totalmente;Concordo;Discordo;Concordo;Concordo;Concordo;Discordo;Concordo;Discordo;Concordo totalmente;Concordo;Concordo;Concordo totalmente;Concordo;Discordo;Concordo;Discordo;Concordo;Concordo;Discordo;Não concordo nem discordo;Não concordo nem discordo;Discordo;Discordo;Concordo;Discordo;Discordo;A divulgação é muito baixa, as aprovações de atas do consu estão muito atrasadas e não há politização dos temas, se focando sempre na suposta eficiência.
Graduação (presencial ou a distância);UFJF - campus Juiz de Fora;Faculdade de Direito;Discordo;Discordo;Não concordo nem discordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Discordo;Discordo;Concordo;Não concordo nem discordo;Concordo;Não concordo nem discordo;Concordo;Discordo;Discordo;Discordo;Discordo;Discordo;Discordo;Discordo;Discordo;Concordo;
Graduação (presencial ou a distância);UFJF - campus Governador Valadares;ICSA - Instituto de Ciências Sociais Aplicadas (Governador Valadares);Não concordo nem discordo;Discordo totalmente;Discordo totalmente;Concordo totalmente;Concordo;Concordo;Concordo;Não sei / Não se aplica;Concordo;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Concordo totalmente;Concordo totalmente;Não concordo nem discordo;Discordo;Discordo;Discordo;Discordo;Discordo;Discordo totalmente;Discordo totalmente;Discordo totalmente;Discordo;Discordo;
Graduação (presencial ou a distância);UFJF - campus Governador Valadares;Faculdade de Direito;Concordo totalmente;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Não concordo nem discordo;Não concordo nem discordo;Discordo totalmente;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Discordo;Discordo;Não concordo nem discordo;Não concordo nem discordo;Concordo;Não concordo nem discordo;
