question_id,question_data,subquestions,text,data
Perfil,Indique seu perfil.,Perfil,Indique seu perfil.,"['Servidor(a) Docente.', 'Servidor(a) Docente.', 'Servidor(a) Docente.', 'Servidor(a) Docente.', 'Servidor(a) Docente.', 'Servidor(a) Docente.', 'Servidor(a) Docente.', 'Servidor(a) Docente.', 'Servidor(a) Docente.', 'Servidor(a) Docente.', 'Servidor(a) Docente.', 'Servidor(a) Docente.', 'Servidor(a) Docente.', 'Servidor(a) Docente.', 'Servidor(a) Docente.', 'Servidor(a) Docente.', 'Servidor(a) Docente.', 'Servidor(a) Docente.', 'Servidor(a) Docente.', 'Servidor(a) Docente.', 'Servidor(a) Docente.']"
Campus,Indique o campus da UFJF no qual atua.,Campus,Indique o campus da UFJF no qual atua.,"['UFJF - Campus Juiz de Fora', 'UFJF - Campus Juiz de Fora', 'UFJF - Campus Juiz de Fora', 'UFJF - Campus Juiz de Fora', 'UFJF - Campus Juiz de Fora', 'UFJF - Campus Juiz de Fora', 'UFJF - Campus Juiz de Fora', 'UFJF - Campus Juiz de Fora', 'UFJF - Campus Juiz de Fora', 'UFJF - Campus Juiz de Fora', 'UFJF - Campus Juiz de Fora', 'UFJF - Campus Juiz de Fora', 'UFJF - Campus Juiz de Fora', 'UFJF - Campus Juiz de Fora', 'UFJF - Campus Juiz de Fora', 'UFJF - Campus Juiz de Fora', 'UFJF - Campus Juiz de Fora', 'UFJF - Campus Juiz de Fora', 'UFJF - Campus Juiz de Fora', 'UFJF - Campus Juiz de Fora', 'UFJF - Campus Juiz de Fora']"
LOTACAO,Selecione o Setor/Unidade ao qual se vincula.,LOTACAO,Selecione o Setor/Unidade ao qual se vincula.,"['ICB – Instituto de Ciências Biológicas', 'Faculdade de Engenharia', 'Faculdade de Letras', 'ICE – Instituto de Ciências Exatas', 'ICH – Instituto de Ciências Humanas', 'Faculdade de Administração e Ciências Contábeis', 'ICE – Instituto de Ciências Exatas', '', 'ICB – Instituto de Ciências Biológicas', 'Faculdade de Administração e Ciências Contábeis', 'Faculdade de Engenharia', 'Faculdade de Medicina', 'ICB – Instituto de Ciências Biológicas', 'ICH – Instituto de Ciências Humanas', 'ICH – Instituto de Ciências Humanas', 'ICB – Instituto de Ciências Biológicas', 'ICB – Instituto de Ciências Biológicas', 'Faculdade de Medicina', '', 'Faculdade de Letras', '']"
CAP,"As oportunidades de capacitação oferecidas aos servidores da UFJF são satisfatórias (ex. cursos de línguas estrangeiras, cursos de capacitação internos e externos, etc.)",CAP,"As oportunidades de capacitação oferecidas aos servidores da UFJF são satisfatórias (ex. cursos de línguas estrangeiras, cursos de capacitação internos e externos, etc.)","['Discordo', 'Discordo totalmente', 'Discordo', 'Não sei / Não se aplica', 'Não sei / Não se aplica', 'Concordo', 'Discordo', 'Não concordo nem discordo', 'Discordo totalmente', 'Concordo', 'Concordo totalmente', 'Concordo', 'Concordo totalmente', 'Concordo', 'Não sei / Não se aplica', 'Concordo', 'Discordo', 'Discordo', 'Concordo', 'Não sei / Não se aplica', 'Não sei / Não se aplica']"
Proquali,"Os programas de qualificação profissional para os servidores da UFJF são satisfatórios (Proquali, Programa de reserva de vagas para servidores).",Proquali,"Os programas de qualificação profissional para os servidores da UFJF são satisfatórios (Proquali, Programa de reserva de vagas para servidores).","['Não concordo nem discordo', 'Discordo', 'Não sei / Não se aplica', 'Não sei / Não se aplica', 'Não sei / Não se aplica', 'Concordo', 'Discordo', 'Não concordo nem discordo', 'Concordo', 'Não concordo nem discordo', 'Concordo totalmente', 'Discordo totalmente', 'Concordo totalmente', 'Concordo', 'Não sei / Não se aplica', 'Concordo', 'Discordo', 'Não concordo nem discordo', 'Concordo', 'Não sei / Não se aplica', 'Não sei / Não se aplica']"
Acoesdesenv,"A qualidade das ações de desenvolvimento e/ou cursos promovidos pela UFJF dos quais participei foi satisfatória (ex.: simpósios, congressos, cursos, etc.).",Acoesdesenv,"A qualidade das ações de desenvolvimento e/ou cursos promovidos pela UFJF dos quais participei foi satisfatória (ex.: simpósios, congressos, cursos, etc.).","['Discordo', 'Discordo', 'Concordo', 'Não sei / Não se aplica', 'Concordo totalmente', 'Concordo', 'Concordo', 'Concordo', 'Concordo', 'Concordo', 'Discordo', 'Não concordo nem discordo', 'Concordo', 'Concordo', 'Não sei / Não se aplica', 'Concordo', 'Concordo totalmente', 'Não concordo nem discordo', 'Concordo', 'Concordo', 'Não sei / Não se aplica']"
Apoio,"As ações, os incentivos e/ou outras formas de apoio para o desenvolvimento das funções dos servidores são satisfatórios (ex.: ações de desenvolvimento em serviço, horário especial para servidor estudante, etc.).",Apoio,"As ações, os incentivos e/ou outras formas de apoio para o desenvolvimento das funções dos servidores são satisfatórios (ex.: ações de desenvolvimento em serviço, horário especial para servidor estudante, etc.).","['Não sei / Não se aplica', 'Não concordo nem discordo', 'Discordo', 'Não sei / Não se aplica', 'Não concordo nem discordo', 'Concordo', 'Concordo', 'Concordo', 'Não sei / Não se aplica', 'Concordo', 'Não concordo nem discordo', 'Discordo totalmente', 'Concordo', 'Concordo', 'Discordo', 'Concordo', 'Concordo', 'Discordo totalmente', 'Concordo', 'Não sei / Não se aplica', 'Discordo']"
CHdocente,A distribuição de atividades e de carga horária entre os servidores docentes para atender as demandas do departamento no qual trabalho é satisfatória.,CHdocente,A distribuição de atividades e de carga horária entre os servidores docentes para atender as demandas do departamento no qual trabalho é satisfatória.,"['Não concordo nem discordo', 'Discordo', 'Discordo totalmente', 'Não concordo nem discordo', 'Concordo', 'Discordo', 'Não concordo nem discordo', 'Discordo', 'Concordo totalmente', 'Discordo totalmente', 'Concordo', 'Discordo totalmente', 'Concordo', 'Concordo', 'Discordo', 'Não concordo nem discordo', 'Concordo', 'Discordo', 'Concordo', 'Concordo totalmente', 'Concordo totalmente']"
CHTAE,A distribuição de atividades e de carga horária entre os servidores TAEs para atender as demandas do setor/departamento no qual trabalho é satisfatória.,CHTAE,A distribuição de atividades e de carga horária entre os servidores TAEs para atender as demandas do setor/departamento no qual trabalho é satisfatória.,"['Não concordo nem discordo', 'Discordo totalmente', 'Não sei / Não se aplica', 'Não concordo nem discordo', 'Concordo', 'Discordo', 'Não concordo nem discordo', 'Discordo', 'Concordo', 'Não sei / Não se aplica', 'Não concordo nem discordo', 'Discordo totalmente', 'Concordo', 'Não sei / Não se aplica', 'Não sei / Não se aplica', 'Não concordo nem discordo', 'Concordo', 'Não concordo nem discordo', 'Concordo', 'Discordo totalmente', 'Não concordo nem discordo']"
Qualivida,"As ações e as políticas de assistência e de melhoria da qualidade de vida dos servidores da UFJF são satisfatórias (ex.: Programa de Saúde Mental, Yoga e saúde, Programa de Preparação para Aposentadoria, etc.)",Qualivida,"As ações e as políticas de assistência e de melhoria da qualidade de vida dos servidores da UFJF são satisfatórias (ex.: Programa de Saúde Mental, Yoga e saúde, Programa de Preparação para Aposentadoria, etc.)","['Discordo', 'Discordo totalmente', 'Não sei / Não se aplica', 'Não sei / Não se aplica', 'Não concordo nem discordo', 'Concordo', 'Não concordo nem discordo', 'Não concordo nem discordo', 'Não sei / Não se aplica', 'Não concordo nem discordo', 'Não concordo nem discordo', 'Não concordo nem discordo', 'Não sei / Não se aplica', 'Concordo', 'Discordo', 'Concordo', 'Discordo totalmente', 'Discordo totalmente', 'Não sei / Não se aplica', 'Não sei / Não se aplica', 'Não concordo nem discordo']"
Saudeocupacional,"As ações voltadas para a saúde ocupacional e segurança no trabalho dos servidores da UFJF são satisfatórias (ex.: Mapa de riscos ocupacionais, Insalubridade, etc.).",Saudeocupacional,"As ações voltadas para a saúde ocupacional e segurança no trabalho dos servidores da UFJF são satisfatórias (ex.: Mapa de riscos ocupacionais, Insalubridade, etc.).","['Discordo', 'Não concordo nem discordo', 'Não sei / Não se aplica', 'Discordo totalmente', 'Não concordo nem discordo', 'Não concordo nem discordo', 'Discordo', 'Não concordo nem discordo', 'Não concordo nem discordo', 'Não concordo nem discordo', 'Discordo', 'Discordo totalmente', 'Não sei / Não se aplica', 'Não concordo nem discordo', 'Não sei / Não se aplica', 'Concordo totalmente', 'Discordo totalmente', 'Discordo totalmente', 'Concordo', 'Não sei / Não se aplica', 'Não sei / Não se aplica']"
DivulCarreira,"A divulgação e o conhecimento sobre o meu plano de carreira são satisfatórios (ex.: Progressão, Promoção, Retribuição por titulação, Incentivo à qualificação, etc.).",DivulCarreira,"A divulgação e o conhecimento sobre o meu plano de carreira são satisfatórios (ex.: Progressão, Promoção, Retribuição por titulação, Incentivo à qualificação, etc.).","['Concordo', 'Concordo', 'Concordo', 'Discordo', 'Concordo', 'Concordo', 'Não concordo nem discordo', 'Concordo', 'Não concordo nem discordo', 'Discordo', 'Não concordo nem discordo', 'Discordo totalmente', 'Concordo totalmente', 'Concordo', 'Discordo', 'Concordo', 'Discordo', 'Discordo totalmente', 'Concordo', 'Concordo', 'Não concordo nem discordo']"
Ambiente,"As condições do meu ambiente de trabalho são satisfatórias (relação interpessoal, clima organizacional, entre outros fatores relevantes para um ambiente saudável e produtivo).",Ambiente,"As condições do meu ambiente de trabalho são satisfatórias (relação interpessoal, clima organizacional, entre outros fatores relevantes para um ambiente saudável e produtivo).","['Concordo', 'Concordo', 'Concordo', 'Discordo', 'Concordo', 'Concordo', 'Concordo', 'Concordo', 'Concordo totalmente', 'Não concordo nem discordo', 'Concordo', 'Discordo', 'Concordo totalmente', 'Concordo', 'Discordo totalmente', 'Não concordo nem discordo', 'Discordo totalmente', 'Discordo totalmente', 'Concordo', 'Concordo totalmente', 'Discordo']"
Motivacao,Sinto-me motivado(a) para o trabalho na UFJF.,Motivacao,Sinto-me motivado(a) para o trabalho na UFJF.,"['Concordo', 'Discordo', 'Concordo', 'Discordo', 'Concordo', 'Concordo totalmente', 'Concordo', 'Concordo', 'Discordo', 'Concordo', 'Concordo totalmente', 'Concordo', 'Concordo totalmente', 'Concordo', 'Discordo totalmente', 'Não concordo nem discordo', 'Concordo', 'Discordo', 'Concordo totalmente', 'Concordo totalmente', 'Concordo totalmente']"
ORGCOL,Os órgãos colegiados da UFJF funcionam de forma satisfatória no que se refere à:,ORGCOL[DIVDEC],"Divulgação das decisões dos órgãos colegiados (ex: Consu, Congrad, Congregações, Colegiados de Curso, etc.).","['Discordo totalmente', 'Concordo', 'Discordo totalmente', 'Discordo', 'Discordo totalmente', 'Não concordo nem discordo', 'Discordo', 'Concordo', 'Concordo', 'Concordo', 'Não concordo nem discordo', 'Discordo totalmente', 'Concordo', 'Concordo', 'Não concordo nem discordo', 'Concordo', 'Discordo', 'Discordo', 'Concordo', 'Discordo', 'Discordo']"
ORGCOL,Os órgãos colegiados da UFJF funcionam de forma satisfatória no que se refere à:,ORGCOL[IMPLDEC],Implementação das decisões dos órgãos colegiados.,"['Discordo', 'Discordo', 'Concordo', 'Discordo', 'Discordo totalmente', 'Não concordo nem discordo', 'Não concordo nem discordo', 'Concordo', 'Não concordo nem discordo', 'Concordo', 'Não concordo nem discordo', 'Discordo totalmente', 'Concordo', 'Concordo', 'Concordo', 'Concordo', 'Discordo', 'Discordo', 'Concordo', 'Discordo', 'Discordo']"
ORGCOL,Os órgãos colegiados da UFJF funcionam de forma satisfatória no que se refere à:,ORGCOL[REPORGCOL],Representatividade dos diferentes segmentos nos órgãos colegiados.,"['Discordo', 'Concordo', 'Discordo', 'Discordo', 'Discordo totalmente', 'Concordo', 'Concordo', 'Concordo', 'Concordo totalmente', 'Concordo', 'Concordo totalmente', 'Discordo', 'Não sei / Não se aplica', 'Não concordo nem discordo', 'Não sei / Não se aplica', 'Concordo', 'Concordo', 'Discordo', 'Concordo', 'Discordo', 'Não concordo nem discordo']"
AVALIASETORES,A organização e a gestão dos seguintes setores da UFJF são satisfatórias.,AVALIASETORES[REIT],Reitoria,"['Discordo', 'Não concordo nem discordo', '', 'Não concordo nem discordo', 'Não sei / Não se aplica', 'Concordo totalmente', 'Não concordo nem discordo', 'Concordo', 'Concordo', 'Concordo', 'Concordo', 'Não sei / Não se aplica', 'Concordo', 'Concordo', 'Não concordo nem discordo', 'Concordo', 'Concordo', 'Concordo', 'Concordo totalmente', 'Discordo', 'Concordo']"
AVALIASETORES,A organização e a gestão dos seguintes setores da UFJF são satisfatórias.,AVALIASETORES[PROAE],Pró-Reitoria de Assistência Estudantil (Proae),"['Discordo totalmente', 'Não concordo nem discordo', 'Concordo', 'Não concordo nem discordo', 'Concordo', 'Não concordo nem discordo', 'Não concordo nem discordo', 'Concordo', 'Não sei / Não se aplica', 'Não concordo nem discordo', 'Não sei / Não se aplica', 'Não sei / Não se aplica', 'Concordo', 'Não sei / Não se aplica', 'Não sei / Não se aplica', 'Concordo', 'Discordo', 'Não concordo nem discordo', 'Não sei / Não se aplica', 'Discordo', 'Não concordo nem discordo']"
AVALIASETORES,A organização e a gestão dos seguintes setores da UFJF são satisfatórias.,AVALIASETORES[PROPP],Pró-Reitoria de Pós-Graduação e Pesquisa (Propp),"['Concordo', 'Não concordo nem discordo', 'Não concordo nem discordo', 'Não concordo nem discordo', 'Não concordo nem discordo', 'Concordo', 'Não concordo nem discordo', 'Concordo', 'Discordo', 'Não concordo nem discordo', 'Concordo totalmente', 'Não sei / Não se aplica', 'Concordo', 'Concordo', 'Não concordo nem discordo', 'Concordo', 'Concordo', 'Discordo', 'Concordo', 'Discordo', 'Concordo']"
AVALIASETORES,A organização e a gestão dos seguintes setores da UFJF são satisfatórias.,AVALIASETORES[PRGRA],Pró-Reitoria de Graduação (Prograd),"['Discordo', 'Concordo', '', 'Não concordo nem discordo', 'Não sei / Não se aplica', 'Concordo', 'Discordo', 'Concordo', 'Discordo', 'Concordo', 'Concordo', 'Concordo totalmente', 'Concordo', 'Concordo', 'Discordo', 'Concordo', 'Concordo', 'Não concordo nem discordo', 'Concordo', 'Discordo', 'Não concordo nem discordo']"
AVALIASETORES,A organização e a gestão dos seguintes setores da UFJF são satisfatórias.,AVALIASETORES[PROEX],Pró-Reitoria de Extensão (Proex),"['Concordo', 'Concordo', 'Discordo totalmente', 'Não concordo nem discordo', 'Não concordo nem discordo', 'Concordo totalmente', 'Não concordo nem discordo', 'Concordo', 'Não sei / Não se aplica', 'Discordo', 'Concordo', 'Não sei / Não se aplica', 'Concordo', 'Concordo', 'Não concordo nem discordo', 'Concordo', 'Concordo', 'Concordo totalmente', 'Concordo', 'Discordo', 'Não concordo nem discordo']"
AVALIASETORES,A organização e a gestão dos seguintes setores da UFJF são satisfatórias.,AVALIASETORES[PRCUL],Pró-Reitoria de Cultura (Procult),"['', 'Não concordo nem discordo', 'Não sei / Não se aplica', 'Não concordo nem discordo', 'Não concordo nem discordo', 'Concordo totalmente', 'Não concordo nem discordo', 'Concordo', 'Não sei / Não se aplica', 'Não concordo nem discordo', 'Não concordo nem discordo', 'Não sei / Não se aplica', 'Concordo', 'Concordo', 'Não sei / Não se aplica', 'Concordo', 'Não sei / Não se aplica', 'Não concordo nem discordo', 'Não sei / Não se aplica', 'Discordo', 'Não concordo nem discordo']"
AVALIASETORES,A organização e a gestão dos seguintes setores da UFJF são satisfatórias.,AVALIASETORES[PRINF],Pró-Reitoria de Infraestrutura (Proinfra),"['Discordo', 'Discordo', 'Discordo totalmente', 'Discordo totalmente', 'Concordo', 'Concordo totalmente', 'Discordo', 'Não concordo nem discordo', 'Discordo', 'Discordo', 'Concordo totalmente', 'Não sei / Não se aplica', 'Concordo', 'Concordo', 'Não concordo nem discordo', 'Concordo', 'Concordo', 'Concordo totalmente', 'Concordo', 'Discordo', 'Não concordo nem discordo']"
AVALIASETORES,A organização e a gestão dos seguintes setores da UFJF são satisfatórias.,AVALIASETORES[PRGPE],Pró-Reitoria de Gestão de Pessoas (Progepe),"['Concordo totalmente', 'Concordo', 'Discordo', 'Não concordo nem discordo', 'Concordo', 'Concordo totalmente', 'Não concordo nem discordo', 'Concordo totalmente', 'Concordo totalmente', 'Não concordo nem discordo', 'Concordo totalmente', 'Não sei / Não se aplica', 'Concordo totalmente', 'Concordo', 'Discordo', 'Concordo', 'Concordo', 'Concordo', 'Concordo', 'Discordo', 'Concordo']"
AVALIASETORES,A organização e a gestão dos seguintes setores da UFJF são satisfatórias.,AVALIASETORES[PRGEF],Pró-Reitoria de Gestão e Finanças (Progefi),"['Não concordo nem discordo', 'Não concordo nem discordo', 'Não sei / Não se aplica', 'Não concordo nem discordo', 'Não sei / Não se aplica', 'Concordo', 'Não concordo nem discordo', 'Concordo', 'Não sei / Não se aplica', 'Não concordo nem discordo', 'Concordo totalmente', 'Não sei / Não se aplica', 'Concordo', 'Concordo', 'Não concordo nem discordo', 'Concordo', 'Concordo', 'Não sei / Não se aplica', 'Concordo', 'Discordo', 'Não concordo nem discordo']"
AVALIASETORES,A organização e a gestão dos seguintes setores da UFJF são satisfatórias.,AVALIASETORES[PROPLAN],Pró-Reitoria de Planejamento (Proplan),"['Discordo totalmente', 'Discordo', 'Discordo', 'Não concordo nem discordo', 'Não sei / Não se aplica', 'Concordo', 'Não concordo nem discordo', 'Concordo', 'Não sei / Não se aplica', 'Não concordo nem discordo', '', 'Não sei / Não se aplica', 'Concordo', 'Concordo', 'Não concordo nem discordo', 'Concordo', 'Concordo', 'Não sei / Não se aplica', 'Concordo', 'Discordo', 'Não concordo nem discordo']"
AVALIASETORES,A organização e a gestão dos seguintes setores da UFJF são satisfatórias.,AVALIASETORES[PRINOV],Pró-Reitoria de Inovação (Proinova),"['Discordo', 'Concordo', 'Não sei / Não se aplica', 'Não concordo nem discordo', 'Concordo', 'Não concordo nem discordo', 'Não concordo nem discordo', 'Não concordo nem discordo', 'Discordo', 'Não concordo nem discordo', 'Concordo', 'Não sei / Não se aplica', 'Concordo', 'Concordo', 'Não concordo nem discordo', 'Concordo', 'Não sei / Não se aplica', 'Não sei / Não se aplica', 'Concordo', 'Discordo', 'Não concordo nem discordo']"
AVALIASETORES,A organização e a gestão dos seguintes setores da UFJF são satisfatórias.,AVALIASETORES[PRODAV],Pró-Reitoria de Sistemas de Dados e Avaliação (Prosdav) ,"['Discordo', 'Não concordo nem discordo', 'Discordo', 'Não concordo nem discordo', 'Não sei / Não se aplica', 'Não concordo nem discordo', 'Não concordo nem discordo', 'Não concordo nem discordo', '', 'Discordo', 'Concordo totalmente', 'Não sei / Não se aplica', 'Concordo', 'Concordo', 'Não concordo nem discordo', 'Concordo', 'Não sei / Não se aplica', 'Não sei / Não se aplica', 'Não sei / Não se aplica', 'Discordo', 'Não concordo nem discordo']"
AVALIASETORES,A organização e a gestão dos seguintes setores da UFJF são satisfatórias.,AVALIASETORES[DRI],Diretoria de Relações Internacionais (DRI),"['Discordo totalmente', 'Concordo', 'Discordo', 'Não concordo nem discordo', 'Não sei / Não se aplica', 'Concordo', 'Não concordo nem discordo', 'Concordo', 'Discordo', 'Discordo', 'Não concordo nem discordo', 'Não sei / Não se aplica', 'Concordo', 'Concordo', 'Não concordo nem discordo', 'Concordo', 'Não sei / Não se aplica', 'Não sei / Não se aplica', 'Concordo', 'Discordo', 'Não concordo nem discordo']"
AVALIASETORES,A organização e a gestão dos seguintes setores da UFJF são satisfatórias.,AVALIASETORES[DII],Diretoria de Imagem Institucional (DII),"['Discordo totalmente', 'Não concordo nem discordo', 'Discordo totalmente', 'Discordo', 'Concordo', 'Não concordo nem discordo', 'Não concordo nem discordo', 'Concordo', 'Discordo totalmente', 'Discordo', 'Concordo', 'Não sei / Não se aplica', 'Concordo', 'Concordo', 'Não concordo nem discordo', 'Concordo', 'Discordo', 'Concordo totalmente', 'Concordo', 'Discordo', 'Não concordo nem discordo']"
AVALIASETORES,A organização e a gestão dos seguintes setores da UFJF são satisfatórias.,AVALIASETORES[DSP],Diretoria de Sustentabilidade e Patrimônio (DSP),"['Discordo totalmente', 'Não concordo nem discordo', 'Discordo totalmente', 'Concordo totalmente', 'Concordo', 'Não concordo nem discordo', 'Não concordo nem discordo', 'Não concordo nem discordo', 'Não concordo nem discordo', 'Discordo', 'Concordo', 'Não sei / Não se aplica', 'Concordo', 'Concordo', 'Não concordo nem discordo', 'Concordo', 'Concordo', 'Não sei / Não se aplica', 'Concordo', 'Discordo', 'Não concordo nem discordo']"
AVALIASETORES,A organização e a gestão dos seguintes setores da UFJF são satisfatórias.,AVALIASETORES[DIAAF],Diretoria de Ações Afirmativas,"['Discordo totalmente', 'Não concordo nem discordo', 'Não sei / Não se aplica', 'Não concordo nem discordo', 'Concordo', 'Concordo', 'Não concordo nem discordo', 'Concordo', 'Discordo totalmente', 'Discordo', 'Concordo', 'Não sei / Não se aplica', 'Concordo', 'Concordo', 'Não concordo nem discordo', 'Concordo', 'Concordo', 'Não sei / Não se aplica', 'Concordo', 'Discordo', 'Concordo']"
AVALIASETORES,A organização e a gestão dos seguintes setores da UFJF são satisfatórias.,AVALIASETORES[DCI],Diretoria de Controle Institucional (DCI),"['Discordo totalmente', 'Não sei / Não se aplica', 'Não sei / Não se aplica', 'Não concordo nem discordo', 'Não sei / Não se aplica', 'Concordo totalmente', 'Não concordo nem discordo', 'Não concordo nem discordo', 'Não sei / Não se aplica', 'Não concordo nem discordo', 'Concordo', 'Não sei / Não se aplica', 'Concordo', 'Concordo', 'Não concordo nem discordo', 'Concordo', 'Concordo', 'Não sei / Não se aplica', 'Não sei / Não se aplica', 'Discordo', 'Não concordo nem discordo']"
